country,andel_vaksinerte,bnp_per_cap,eu_member
Afghanistan,0.62,507.1034318719867,no
Albania,0.21,5353.2448564014,no
Andorra,28.13,40886.391164843146,no
Angola,1.39,2790.726615206646,no
Antigua and Barbuda,30.38,17112.82113473262,no
Argentina,14.76,9912.28180859803,no
Armenia,0.02,4622.733493286709,no
Australia,0.62,55060.32610050132,no
Austria,23.99,50137.66277624762,yes
Azerbaijan,9.4,4793.587019669887,no
Bahamas,6.53,34863.74209847952,no
Bahrain,40.06,23503.977126672995,no
Bangladesh,3.53,1855.7398240804648,no
Barbados,25.68,18148.24492640014,no
Belarus,2.58,6663.295292825825,no
Belgium,24.64,46420.663766806145,yes
Belize,10.31,4815.163710795101,no
Bermuda,51.59,117089.28627303733,no
Bhutan,62.24,3316.1757135008374,no
Bolivia,4.43,3552.0687602631,no
Bosnia and Herzegovina,1.93,6108.510695813381,no
Botswana,2.01,7961.3251812388535,no
Brazil,13.21,8717.186278108185,no
Brunei,2.45,31086.751118802822,no
Bulgaria,8.43,9828.148514781386,yes
Cambodia,7.77,1643.1213887653946,no
Cameroon,0,1507.4502059128758,no
Canada,31.17,46194.725225516726,no
Cape Verde,0.39,3603.7817930451442,no
Chile,42.03,14896.453866578866,no
Colombia,6.19,6428.676205627684,no
Congo,0.26,2279.9691305335514,no
Costa Rica,10.57,12243.811426760694,no
Cote d'Ivoire,0.5,2276.3332790644354,no
Croatia,15.8,14936.100547342958,yes
Curacao,42.64,19689.139823389956,no
Cyprus,20.1,27858.3709958327,yes
Czechia,18.97,23494.596200294414,yes
Democratic Republic of Congo,0,580.7168672077447,no
Denmark,22.1,60170.34263650685,yes
Djibouti,1.04,3414.9248696877885,no
Dominica,25.33,8110.56851191655,no
Dominican Republic,9.84,8282.116359353236,no
Ecuador,3.07,6183.823824821733,no
Egypt,0.64,3019.205828617557,no
El Salvador,11.96,4187.250031106896,no
Equatorial Guinea,4.61,8131.923888109115,no
Estonia,23.87,23723.306112848044,yes
Eswatini,3.01,3894.679806854275,no
Fiji,6.25,6175.888720321036,no
Finland,28.46,48782.788475509136,yes
France,21.43,40493.92857204556,yes
Gabon,0.31,7767.013404407879,no
Gambia,0.87,777.8119320840082,no
Georgia,1.05,4697.704575946902,no
Germany,24.49,46445.24910125075,yes
Ghana,2.72,2202.1155673806516,no
Greece,20.14,19582.535979493605,yes
Grenada,10.47,10808.672122208367,no
Guatemala,0.92,4619.985258219712,no
Guinea,0.7,962.8399085877785,no
Guyana,15.76,6609.586425033712,no
Honduras,0.56,2574.9121906744267,no
Hong Kong,11.79,48713.47374815606,no
Hungary,40.06,16731.821513905103,yes
Iceland,25.51,66944.83307698254,no
India,8.88,2099.599048108549,no
Indonesia,4.44,4135.569262815537,no
Iran,0.89,NA,no
Iraq,0.74,5955.109010368158,no
Ireland,20.55,78660.95646296027,yes
Israel,62.38,43592.083582323416,no
Italy,22.09,33228.236680370675,yes
Jamaica,4.57,5582.263777552108,no
Japan,1.8,40246.88012841641,no
Jordan,11.76,4405.488412308239,no
Kazakhstan,5.82,9812.390376138346,no
Kenya,1.59,1816.5469164388999,no
Kuwait,19.25,32000.448469157778,no
Kyrgyzstan,0.03,1309.3929916551213,no
Laos,1.73,2534.898279911249,no
Latvia,12.57,17828.894657185647,yes
Lebanon,4.22,7583.694721706479,no
Lesotho,0.75,1118.1312838019383,no
Libya,0.01,7685.949266530034,no
Liechtenstein,20.33,NA,no
Lithuania,24.2,19601.89083438847,yes
Luxembourg,21.2,114704.59417086263,yes
Macao,10.14,84096.3963112065,no
Malawi,1.49,411.5523404236016,no
Malaysia,2.61,11414.2069765208,no
Maldives,54.44,10626.51340223895,no
Mali,0.25,879.0080104466547,no
Malta,49.7,29820.603247409923,yes
Mauritania,0.15,1679.4448730040763,no
Mauritius,9.23,11099.240283568764,no
Mexico,9.38,9946.033828791982,no
Moldova,3.09,4503.516985388472,no
Monaco,32.51,NA,no
Mongolia,23.86,4339.843279250268,no
Montenegro,6.36,8908.93479246767,no
Morocco,13.31,3204.09500313298,no
Mozambique,0.18,503.57077267520214,no
Myanmar,1.84,1407.813143410434,no
Namibia,0.74,4957.458222264077,no
Nauru,6.46,9396.981966810723,no
Nepal,7.04,1071.0507605540372,no
Netherlands,22.65,52331.31672777971,yes
New Zealand,3.58,42084.35337480878,no
Nicaragua,0.93,1912.9037453786932,no
Niger,0.01,553.8950503813802,no
Nigeria,0.58,2229.858696244633,no
North Macedonia,2.68,6022.216179395737,no
Norway,22.85,75419.63486880889,no
Oman,4.95,15343.062004310588,no
Pakistan,0.95,1284.7020409003858,no
Palestine,3.33,NA,no
Panama,10.48,15731.01603484708,no
Papua New Guinea,0.03,2829.170308968372,no
Paraguay,1.3,5414.799137932578,no
Peru,2.71,6977.695783553824,no
Philippines,1.43,3485.084218358606,no
Poland,21.33,15692.507025556279,yes
Portugal,22.42,23252.05851812112,yes
Qatar,3.47,62088.06182769869,no
Romania,16.07,12919.52964419082,yes
Russia,8.16,11584.9953826104,no
Rwanda,2.7,820.0252416581593,no
Saint Kitts and Nevis,22.27,19934.974532392862,no
Saint Lucia,11.03,11611.415447396626,no
San Marino,56.25,NA,no
Sao Tome and Principe,4.44,1946.6436137008602,no
Senegal,2.43,1446.8309649940766,no
Serbia,29.47,7411.836116347336,no
Seychelles,67.71,17448.270292683133,no
Sierra Leone,0.67,527.5336343991108,no
Singapore,23.32,65233.28243923024,no
Slovakia,19.09,19266.275499013886,yes
Slovenia,19.87,25946.182185212732,yes
Solomon Islands,0.71,2373.6324704257563,no
Somalia,0.74,NA,no
South Africa,0.5,6001.400813948884,no
South Korea,5.48,31846.218232425806,no
South Sudan,0.01,NA,no
Spain,24.09,29600.378252660154,yes
Sri Lanka,4.32,3853.083692889419,no
Sudan,0.32,441.505603374484,no
Suriname,6.33,6359.833614427369,no
Sweden,23.07,51615.02065149463,yes
Switzerland,18.1,81993.72712595,no
Syria,0.01,NA,no
Taiwan,0.14,NA,no
Thailand,1.52,7806.742211055316,no
Timor,0.2,1560.509821601879,no
Togo,1.93,679.2902490912953,no
Tonga,5.08,4903.152902765991,no
Trinidad and Tobago,3.01,17397.981760154333,no
Tunisia,2.29,3317.4535932122044,no
Turkey,16.02,9126.561345850141,no
Turks and Caicos Islands,38.84,31353.329318425807,no
Uganda,0.66,794.3410779171021,no
Ukraine,1.44,3659.03131229487,no
United Arab Emirates,51.38,43103.323058316506,no
United Kingdom,50.02,42330.11753700503,no
United States,42.67,65297.51750827398,no
Uruguay,33.09,16190.126957465005,no
Uzbekistan,1.79,1724.8411344137025,no
Venezuela,0.88,NA,no
Vietnam,0.44,2715.2760364072114,no
Zambia,0.12,1305.063253505438,no
Zimbabwe,2.61,1463.9859101805419,no
