"","rik","alder","kjonn","tillit","valg","redusere"
"1",3,57,2,6,7,1
"2",4,58,1,7,3,2
"3",6,63,1,5,3,2
"4",5,51,1,2,8,4
"5",3,46,1,8,10,3
"6",5,55,1,2,8,2
"7",3,60,1,5,3,2
"8",4,19,1,6,NA,3
"9",5,69,2,6,10,2
"10",5,44,2,5,7,2
"11",5,84,2,4,3,1
"12",5,53,2,5,2,1
"13",5,68,1,7,2,3
"14",5,78,2,7,3,1
"15",5,33,1,8,NA,4
"16",6,25,2,6,2,2
"17",5,48,2,7,5,3
"18",6,37,1,6,6,2
"19",6,57,2,8,3,2
"20",5,19,1,6,NA,3
"21",3,42,1,5,2,3
"22",3,21,2,4,10,2
"23",5,53,1,6,6,1
"24",4,65,1,5,NA,4
"25",4,60,1,2,7,1
"26",6,17,2,8,NA,2
"27",5,65,2,7,7,2
"28",5,30,2,3,1,1
"29",2,29,1,5,NA,2
"30",5,24,2,7,3,2
"31",6,35,2,6,7,3
"32",4,58,2,3,NA,2
"33",6,90,2,5,3,1
"34",5,52,2,7,7,2
"35",5,32,1,8,6,2
"36",3,24,2,4,8,2
"37",4,71,2,0,7,5
"38",5,24,1,4,3,2
"39",3,22,2,2,8,2
"40",6,55,1,7,3,3
"41",6,80,1,7,7,3
"42",4,53,1,6,7,3
"43",4,65,1,7,8,3
"44",5,39,2,5,2,1
"45",4,22,1,6,7,5
"46",5,50,1,6,NA,2
"47",6,62,1,6,5,3
"48",5,67,2,3,7,2
"49",4,55,1,5,3,1
"50",5,24,2,5,7,3
"51",5,52,2,4,NA,1
"52",4,50,2,6,4,1
"53",1,31,2,6,3,3
"54",5,30,2,0,10,1
"55",5,53,1,4,3,1
"56",6,66,2,5,3,1
"57",4,22,1,5,3,2
"58",5,35,1,3,NA,2
"59",5,45,2,4,4,2
"60",4,63,1,7,8,2
"61",5,51,2,6,3,2
"62",5,64,1,2,6,2
"63",6,27,1,3,4,1
"64",4,28,2,7,4,2
"65",5,56,1,7,7,4
"66",3,44,2,3,7,5
"67",4,19,1,5,NA,3
"68",5,65,2,6,NA,2
"69",4,40,1,5,8,2
"70",5,54,1,3,8,2
"71",5,18,2,6,NA,2
"72",4,36,2,4,NA,1
"73",5,88,1,3,8,4
"74",5,75,2,7,3,1
"75",3,72,1,8,8,2
"76",5,25,2,6,3,4
"77",5,20,2,8,7,1
"78",5,49,2,5,2,1
"79",5,56,2,5,8,2
"80",5,56,2,3,1,2
"81",4,23,1,6,NA,4
"82",3,32,1,5,3,1
"83",5,56,2,5,3,3
"84",4,46,2,7,7,3
"85",5,68,2,2,1,1
"86",5,33,2,6,NA,1
"87",5,21,1,7,7,3
"88",5,47,1,1,7,4
"89",2,NA,1,7,3,3
"90",4,38,1,7,7,2
"91",6,58,1,7,3,2
"92",3,33,1,5,3,2
"93",2,43,2,3,3,2
"94",4,45,1,5,7,2
"95",5,62,2,6,2,1
"96",5,42,1,6,4,3
"97",6,55,2,3,7,2
"98",5,47,1,5,3,2
"99",5,48,1,3,7,2
"100",5,69,1,4,7,2
"101",6,49,1,7,5,2
"102",4,40,1,5,3,1
"103",4,17,2,7,NA,2
"104",3,32,2,8,4,2
"105",5,27,1,5,NA,1
"106",2,23,1,1,NA,1
"107",5,66,2,6,7,4
"108",2,17,1,8,NA,2
"109",3,49,2,7,NA,2
"110",5,36,1,1,3,2
"111",3,20,1,7,3,4
"112",5,45,1,7,2,1
"113",4,45,2,5,1,1
"114",4,45,2,6,3,2
"115",5,55,2,5,3,2
"116",5,55,1,5,6,2
"117",5,39,2,5,6,3
"118",5,40,1,3,7,2
"119",5,21,2,5,6,2
"120",6,60,2,7,2,1
"121",5,33,1,1,11,1
"122",5,47,1,7,2,1
"123",5,63,1,7,1,1
"124",4,61,1,1,8,2
"125",5,87,2,8,6,2
"126",4,29,2,5,3,2
"127",5,42,2,5,5,1
"128",4,46,1,6,7,2
"129",4,57,2,5,2,1
"130",4,47,1,5,NA,2
"131",5,59,1,7,5,3
"132",5,67,1,5,3,2
"133",3,26,2,7,3,2
"134",3,35,1,4,3,2
"135",5,55,1,5,NA,3
"136",5,42,2,6,11,2
"137",5,42,2,5,NA,2
"138",5,19,1,5,NA,1
"139",5,46,1,3,8,4
"140",5,50,1,6,3,2
"141",5,16,2,2,NA,2
"142",4,26,2,3,2,1
"143",5,48,2,6,7,2
"144",5,68,1,7,4,4
"145",6,60,2,9,6,2
"146",5,44,2,5,10,2
"147",4,47,1,3,6,4
"148",5,35,2,7,6,2
"149",5,41,2,7,NA,2
"150",4,26,1,4,NA,5
"151",5,54,1,8,4,2
"152",4,36,2,5,NA,2
"153",5,47,1,1,NA,2
"154",3,67,1,5,7,2
"155",5,32,2,7,6,2
"156",6,74,1,7,5,2
"157",5,34,1,7,10,2
"158",5,76,1,4,NA,5
"159",5,39,1,6,NA,4
"160",3,88,1,8,7,2
"161",5,69,1,8,3,3
"162",4,37,2,6,6,1
"163",6,NA,2,6,7,2
"164",3,21,1,7,NA,2
"165",5,41,1,5,4,2
"166",4,56,1,2,8,4
"167",NA,51,2,NA,7,3
"168",4,41,2,6,3,2
"169",2,18,2,3,NA,3
"170",5,24,1,2,3,2
"171",4,73,2,5,4,2
"172",5,76,1,5,7,2
"173",4,48,1,4,NA,3
"174",5,61,1,6,4,1
"175",5,84,1,5,5,2
"176",4,16,1,7,NA,1
"177",5,30,1,5,7,4
"178",4,47,2,7,NA,3
"179",5,60,1,3,4,2
"180",5,17,1,0,NA,3
"181",5,46,1,4,7,3
"182",5,48,2,7,NA,3
"183",5,59,2,7,1,1
"184",5,86,1,3,8,3
"185",5,52,2,6,NA,3
"186",5,22,1,0,11,2
"187",5,32,2,4,NA,3
"188",5,38,2,6,NA,2
"189",6,79,1,5,6,2
"190",5,18,1,7,NA,2
"191",5,72,1,2,7,2
"192",4,25,1,1,NA,2
"193",5,58,1,6,3,2
"194",3,15,1,10,NA,2
"195",3,21,1,4,NA,2
"196",4,17,1,4,NA,3
"197",5,53,1,8,7,3
"198",5,38,2,7,4,2
"199",5,81,2,5,7,2
"200",5,66,2,9,7,5
"201",6,49,1,6,8,2
"202",5,45,2,3,8,2
"203",5,32,1,4,2,4
"204",3,32,1,6,7,3
"205",5,48,1,6,5,2
"206",6,76,2,8,3,2
"207",5,20,2,4,2,2
"208",5,55,2,6,7,3
"209",5,72,2,1,7,3
"210",5,63,2,6,10,1
"211",3,49,1,6,7,4
"212",2,NA,1,10,NA,2
"213",5,72,2,7,7,3
"214",5,64,1,7,11,2
"215",6,40,1,1,3,1
"216",6,55,2,5,7,4
"217",5,23,2,3,1,2
"218",5,50,2,2,6,2
"219",5,52,2,7,3,1
"220",5,81,2,7,7,2
"221",5,47,2,6,7,2
"222",3,69,1,5,3,2
"223",2,24,2,2,10,2
"224",3,42,1,4,4,2
"225",3,27,1,8,6,2
"226",4,29,1,0,NA,4
"227",5,71,1,5,3,2
"228",4,70,2,4,7,3
"229",5,76,2,5,6,1
"230",6,61,2,2,4,2
"231",6,36,1,7,NA,2
"232",5,50,2,6,7,3
"233",3,36,1,4,7,4
"234",5,37,2,7,5,2
"235",5,62,2,9,3,1
"236",5,32,1,5,7,2
"237",5,38,1,5,3,1
"238",5,37,1,7,NA,2
"239",4,42,1,7,NA,2
"240",5,57,1,5,5,2
"241",4,48,2,6,3,1
"242",5,74,1,0,6,2
"243",5,65,1,6,3,2
"244",5,36,2,3,1,1
"245",4,26,2,5,NA,3
"246",6,74,1,8,7,3
"247",5,59,2,6,8,2
"248",5,33,1,5,8,3
"249",3,36,1,2,6,2
"250",5,21,2,3,NA,3
"251",3,18,1,8,NA,2
"252",5,41,2,6,NA,1
"253",6,41,1,10,NA,4
"254",6,43,2,3,7,1
"255",5,26,2,4,2,2
"256",3,18,1,6,NA,2
"257",6,78,2,4,5,1
"258",5,82,1,7,7,3
"259",4,57,2,5,7,2
"260",2,NA,2,4,7,3
"261",4,27,1,5,4,3
"262",2,24,1,8,7,4
"263",5,42,2,7,3,1
"264",2,50,1,9,NA,1
"265",6,21,2,4,4,2
"266",6,47,2,4,6,2
"267",5,76,2,5,6,1
"268",6,60,2,9,1,1
"269",4,56,1,5,3,2
"270",5,41,1,1,3,1
"271",5,57,1,4,NA,2
"272",5,48,1,5,NA,2
"273",5,46,1,6,5,2
"274",5,79,1,8,3,1
"275",5,60,1,6,3,2
"276",5,79,1,5,3,1
"277",1,73,2,6,7,4
"278",5,68,2,7,7,3
"279",5,75,2,5,3,1
"280",6,53,2,4,3,2
"281",4,16,1,9,NA,2
"282",3,53,1,4,4,3
"283",6,58,1,7,3,2
"284",5,87,2,7,3,2
"285",5,56,1,1,NA,3
"286",5,58,2,6,3,2
"287",3,70,1,9,3,1
"288",5,72,2,6,5,2
"289",5,19,2,3,NA,1
"290",5,34,2,7,10,2
"291",4,55,1,8,3,2
"292",5,22,1,8,3,1
"293",3,42,1,7,6,3
"294",4,22,2,6,2,1
"295",5,43,1,3,3,3
"296",5,70,2,5,7,3
"297",5,70,2,5,NA,3
"298",5,64,1,4,7,3
"299",6,54,2,0,8,3
"300",4,48,1,4,7,3
"301",4,49,1,6,7,4
"302",5,75,1,6,6,2
"303",5,16,1,6,NA,2
"304",5,16,1,8,NA,2
"305",4,37,2,7,7,3
"306",4,48,1,7,7,3
"307",5,34,2,7,4,2
"308",4,39,1,2,6,2
"309",5,18,1,8,NA,3
"310",5,61,1,6,NA,3
"311",5,30,1,2,7,4
"312",2,54,1,8,4,3
"313",2,21,1,3,7,3
"314",5,62,1,8,7,3
"315",4,15,2,9,NA,3
"316",3,39,1,3,NA,2
"317",5,21,2,7,6,2
"318",3,55,2,6,7,3
"319",5,31,1,7,5,2
"320",5,39,1,7,2,1
"321",5,62,2,3,3,2
"322",5,39,2,2,NA,1
"323",5,62,1,7,8,1
"324",3,61,1,8,3,2
"325",5,62,2,4,7,3
"326",5,24,1,3,6,2
"327",4,23,2,6,8,3
"328",3,29,1,4,11,2
"329",4,26,2,5,11,3
"330",4,45,2,4,3,2
"331",5,23,1,3,10,2
"332",6,35,1,6,NA,2
"333",5,62,1,4,11,1
"334",3,62,2,4,7,3
"335",4,35,1,7,7,2
"336",5,46,2,5,8,2
"337",5,42,2,7,NA,4
"338",5,36,2,5,3,2
"339",5,53,2,7,4,2
"340",4,66,2,3,NA,3
"341",5,68,1,4,7,3
"342",5,69,2,8,NA,1
"343",4,46,1,6,10,1
"344",6,44,2,7,2,2
"345",5,63,1,5,2,1
"346",5,49,1,5,2,1
"347",5,53,1,1,7,2
"348",5,48,1,7,3,1
"349",5,42,2,5,3,2
"350",5,58,1,7,3,2
"351",5,36,2,5,4,2
"352",4,49,1,7,3,2
"353",NA,75,1,8,NA,2
"354",4,32,1,3,7,2
"355",5,63,1,4,6,1
"356",4,22,1,3,4,2
"357",5,60,1,5,3,1
"358",4,61,2,3,7,2
"359",5,66,1,0,4,2
"360",5,53,2,0,3,1
"361",4,57,1,5,3,2
"362",3,23,2,3,2,2
"363",5,67,2,2,8,3
"364",4,54,2,3,7,4
"365",4,22,2,5,NA,2
"366",5,63,2,6,2,1
"367",5,38,2,7,3,2
"368",6,58,1,5,NA,2
"369",5,53,1,4,6,2
"370",5,24,2,6,7,2
"371",5,35,1,3,NA,1
"372",6,50,2,2,6,3
"373",3,37,1,7,NA,2
"374",6,81,1,2,7,4
"375",2,21,1,7,7,3
"376",5,68,1,6,8,2
"377",5,23,1,5,3,4
"378",6,56,1,5,NA,4
"379",4,19,2,9,NA,2
"380",5,31,1,0,3,3
"381",4,55,2,7,2,1
"382",5,90,2,5,2,2
"383",3,34,1,6,NA,3
"384",5,66,1,3,3,2
"385",5,37,2,5,3,2
"386",5,27,2,5,6,2
"387",5,51,1,4,3,1
"388",3,26,2,7,2,1
"389",6,60,1,6,6,1
"390",4,33,2,5,2,2
"391",4,60,2,2,10,2
"392",5,27,2,4,NA,2
"393",5,NA,2,5,3,3
"394",5,23,2,6,11,2
"395",5,63,2,5,3,2
"396",3,17,2,7,NA,1
"397",4,29,2,7,2,1
"398",5,60,2,5,7,4
"399",6,90,2,8,5,1
"400",4,41,2,NA,NA,3
"401",5,28,2,7,NA,2
"402",5,33,1,4,NA,2
"403",5,36,2,4,NA,1
"404",5,41,2,7,2,2
"405",5,35,2,5,6,2
"406",4,49,1,8,6,2
"407",5,62,1,4,5,2
"408",5,26,1,9,NA,2
"409",5,78,1,7,3,1
"410",4,59,1,8,8,2
"411",4,72,1,6,3,1
"412",5,58,1,5,7,2
"413",5,28,1,7,2,1
"414",5,33,1,6,7,3
"415",6,62,1,5,4,3
"416",5,74,1,4,NA,2
